Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,Yrs,event
31,1998,NBA,2,31,LAL,Ruben Patterson\patteru01,22.334,F,us,Cincinnati,1999,2008,649,24.6,10.7,4.2,1.8,1.2,0.4,0.517,0.53,0.179,0.641,35.1,10,1
32,1998,NBA,2,32,SEA,Rashard Lewis\lewisra02,18.325,F,us,NA,1999,2014,1049,32,14.9,5.2,1.7,1.1,0.5,0.452,0.491,0.386,0.805,90.9,16,1
33,1998,NBA,2,33,SEA,Jelani McCoy\mccoyje01,20.205,C,us,UCLA,1999,2008,260,14.7,4.6,3.5,0.5,0.3,0.7,0.539,0.539,0,0.49,5.1,10,1
34,1998,NBA,2,34,CHI,Shammond Williams\willish01,23.086,G,us,UNC,1999,2007,325,16.5,5.8,1.6,2.4,0.6,0,0.401,0.427,0.366,0.798,8.8,9,1
35,1998,NBA,2,35,DAL,Bruno Šundov\sundobr01,18.139,C,hr,NA,1999,2005,102,5.1,1.7,1,0.2,0.1,0.1,0.356,0.374,0.208,0.526,-0.7,7,1
36,1998,NBA,2,36,SAC,Jerome James\jamesje01,22.225,C,us,Florida A&M,1999,2009,358,13.3,4.3,3.1,0.3,0.3,1.1,0.485,0.486,0,0.617,2.9,11,1
37,1998,NBA,2,37,PHI,Casey Shaw\shawca01,22.345,C,us,University of Toledo,1999,1999,9,1.6,0.2,0.3,0,0,0,0.125,0.125,0,0,-0.1,1,1
38,1998,NBA,2,38,NYK,DeMarco Johnson\johnsde02,22.267,F,us,UNC Charlotte,2000,2000,5,7.4,1.2,1.4,0,0.2,0,0.333,0.333,0,0,-0.1,1,1
39,1998,NBA,2,39,MIL,Rafer Alston\alstora01,21.34,G,us,Fresno State,2000,2010,671,28.9,10.1,2.8,4.8,1.2,0.2,0.383,0.407,0.354,0.729,32.9,11,1
40,1998,NBA,2,40,DET,Korleone Young\youngko01,19.18,F,us,NA,1999,1999,3,5,4.3,1.3,0.3,0,0,0.5,0.667,0.25,1,0.1,1,0
41,1998,NBA,2,41,HOU,Cuttino Mobley\moblecu01,22.302,G,us,Rhode Island,1999,2009,747,37,16,3.9,2.7,1.2,0.4,0.433,0.455,0.378,0.835,52.2,11,1
42,1998,NBA,2,42,ORL,Miles Simon\simonmi01,22.221,G,se,Arizona,1999,1999,5,3.8,0.4,0.4,0,0.2,0,0.2,0.333,0,0,-0.1,1,1
43,1998,NBA,2,43,WAS,Jahidi White\whiteja01,22.131,F-C,us,Georgetown,1999,2005,334,17.7,5.9,5.8,0.2,0.4,1.1,0.51,0.51,0,0.534,10.4,7,1
44,1998,NBA,2,44,NYK,Sean Marks\marksse01,22.311,F-C,nz,Cal,1999,2011,230,9.9,2.8,2.2,0.2,0.1,0.4,0.448,0.459,0.2,0.665,2.6,13,1
45,1998,NBA,2,45,LAL,Toby Bailey\baileto01,22.223,G,us,UCLA,1999,2000,73,9.6,3.3,1.7,0.6,0.3,0.1,0.407,0.422,0.2,0.692,1,2,1
46,1998,NBA,2,46,MIN,Andrae Patterson\pattean01,22.23,F,us,Indiana,1999,2000,40,7.6,3,1.7,0.4,0.5,0.2,0.455,0.479,0,0.778,0.7,2,1
47,1998,NBA,2,47,TOR,Tyson Wheeler\wheelty01,22.265,G,us,Rhode Island,1999,1999,1,3,4,0,2,0,0,1,0,1,0.5,0.1,1,0
48,1998,NBA,2,48,CLE,Ryan Stack\stackry01,22.341,F,us,South Carolina,1999,2000,43,9.2,2.3,1.8,0.2,0.1,0.5,0.352,0.356,0,0.787,0.2,2,1
49,1998,NBA,2,49,ATL,Cory Carr\carrco01,22.207,G,us,Texas Tech,1999,1999,42,14.9,4.1,1.2,1.6,0.5,0.2,0.329,0.355,0.167,0.75,-1.2,1,1
