Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,Yrs,event
25,2009,NBA,1,25,OKC,Rodrigue Beaubois\beaubro01,21.127,G,gp,NA,2010,2013,182,15.9,7.1,1.9,2.1,0.7,0.3,0.439,0.5,0.325,0.81,4.8,4,1
26,2009,NBA,1,26,CHI,Taj Gibson\gibsota01,24.007,F,us,USC,2010,2020,746,25.8,9.8,6.4,1,0.6,1.1,0.512,0.518,0.206,0.709,50.1,11,0
27,2009,NBA,1,27,MEM,DeMarre Carroll\carrode01,22.339,F,us,Missouri,2010,2020,558,24.1,9.1,4.3,1.3,0.9,0.3,0.43,0.485,0.36,0.743,29.4,11,0
28,2009,NBA,1,28,MIN,Wayne Ellington\ellinwa01,21.214,G,us,UNC,2010,2020,653,21.2,8.1,2.2,1.1,0.6,0.1,0.409,0.447,0.378,0.845,17.6,11,0
29,2009,NBA,1,29,LAL,Toney Douglas\douglto01,23.107,G,us,Florida State,2010,2017,394,19.1,7.6,2.2,2.3,0.9,0.1,0.404,0.448,0.354,0.824,12.1,8,1
30,2009,NBA,1,30,CLE,Christian Eyenga\eyengch01,20.008,F,cd,NA,2011,2012,51,20.6,6.3,2.7,0.8,0.7,0.6,0.411,0.464,0.277,0.611,-0.4,2,1
31,2009,NBA,2,31,SAC,Jeff Ayres\pendeje02,22.063,F,us,Arizona State,2010,2016,237,9.8,2.9,2.7,0.4,0.2,0.3,0.553,0.554,0.4,0.776,6.3,7,1
32,2009,NBA,2,32,WAS,Jermaine Taylor\tayloje02,22.205,G,us,Central Florida,2010,2011,65,12.1,5.4,1.7,0.7,0.4,0.1,0.441,0.484,0.284,0.73,0.2,2,1
33,2009,NBA,2,33,POR,Dante Cunningham\cunnida01,22.07,F,us,Villanova,2010,2019,715,20.8,5.8,3.7,0.7,0.6,0.5,0.469,0.494,0.345,0.649,24.9,10,1
34,2009,NBA,2,34,DEN,Sergio Llull\llullse01,21.228,G,es,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35,2009,NBA,2,35,DET,DaJuan Summers\summeda01,21.158,F,us,Georgetown,2010,2013,83,9.9,3.3,1,0.3,0.2,0.1,0.384,0.392,0.367,0.642,-0.1,4,1
36,2009,NBA,2,36,MEM,Sam Young\youngsa01,24.03,F,us,Pitt,2010,2013,249,15.9,5.8,2.3,0.7,0.5,0.2,0.442,0.468,0.28,0.742,5.2,4,1
37,2009,NBA,2,37,SAS,DeJuan Blair\blairde01,20.069,F-C,us,Pitt,2010,2016,424,16.6,6.8,5.1,0.8,0.7,0.3,0.524,0.526,0,0.608,19,7,1
38,2009,NBA,2,38,POR,Jon Brockman\brockjo01,22.103,F,us,Washington,2010,2012,150,10.5,2.1,3.1,0.3,0.2,0.1,0.488,0.49,0,0.618,3.7,3,1
39,2009,NBA,2,39,DET,Jonas Jerebko\jerebjo01,22.121,F,se,NA,2010,2019,635,17.8,6.2,4,0.8,0.5,0.2,0.457,0.507,0.363,0.77,25.8,10,1
40,2009,NBA,2,40,CHA,Derrick Brown\brownde04,21.296,F,us,Xavier,2010,2012,171,14.9,5.2,2.4,0.7,0.5,0.2,0.515,0.528,0.317,0.637,4.5,3,1
41,2009,NBA,2,41,MIL,Jodie Meeks\meeksjo01,21.314,G,us,Kentucky,2010,2019,539,22.5,9.3,2.1,1.1,0.8,0.1,0.42,0.471,0.373,0.879,24.3,10,1
42,2009,NBA,2,42,LAL,Patrick Beverley\beverpa01,20.353,G,us,Arkansas,2013,2020,390,28.4,9,4.3,3.4,1.2,0.4,0.411,0.455,0.375,0.767,25.1,8,1
43,2009,NBA,2,43,MIA,Marcus Thornton\thornma01,22.026,G,us,LSU,2010,2017,483,23.4,11.9,2.8,1.4,0.8,0.1,0.425,0.471,0.358,0.83,20,8,1
44,2009,NBA,2,44,DET,Chase Budinger\budinch01,21.039,F,us,Arizona,2010,2016,407,19.7,7.9,3,1.2,0.5,0.2,0.43,0.486,0.352,0.797,13.9,7,1
45,2009,NBA,2,45,MIN,Nick Calathes\calatni01,20.143,G,us,Florida,2014,2015,129,15.6,4.6,1.9,2.7,1,0.1,0.441,0.476,0.288,0.581,2.6,2,1
46,2009,NBA,2,46,CLE,Danny Green\greenda02,22.009,G-F,us,UNC,2010,2020,630,25.5,9,3.5,1.6,1,0.8,0.425,0.457,0.404,0.814,39.9,11,0
47,2009,NBA,2,47,MIN,Henk Norel\norelhe01,21.287,F-C,nl,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
48,2009,NBA,2,48,PHO,Taylor Griffin\griffta01,23.074,F,us,Oklahoma,2010,2010,8,4,1.3,0.3,0.1,0,0.3,0.4,0.5,0,0.5,0,1,1
49,2009,NBA,2,49,ATL,Sergiy Gladyr\gladyse01,19.256,G,ua,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50,2009,NBA,2,50,UTA,Goran Suton,0,NA,NA,Michigan State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
51,2009,NBA,2,51,SAS,Jack McClinton,0,NA,NA,Miami (FL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52,2009,NBA,2,52,IND,A.J. Price\priceaj01,22.267,G,us,UConn,2010,2015,261,15.1,5.8,1.4,2.2,0.5,0,0.38,0.439,0.316,0.742,4.7,6,1
53,2009,NBA,2,53,SAS,Nando De Colo\decolna01,22.008,G,fr,NA,2013,2014,119,11.9,3.8,1.8,1.7,0.5,0.1,0.429,0.463,0.363,0.835,2.4,2,1
54,2009,NBA,2,54,CHA,Robert Vaden,0,NA,NA,University of Alabama at Birmingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
55,2009,NBA,2,55,POR,Patty Mills\millspa02,20.323,G,au,Saint Mary's,2010,2020,615,19,8.5,1.7,2.4,0.6,0.1,0.432,0.478,0.392,0.847,28.2,11,0
56,2009,NBA,2,56,DAL,Ahmad Nivins,0,NA,NA,Saint Joseph's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
57,2009,NBA,2,57,PHO,Emir Preldžić\preldem01,21.298,F-G,ba,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
58,2009,NBA,2,58,BOS,Lester Hudson\hudsole01,24.328,G,us,University of Tennessee at Martin,2010,2015,57,10.4,4.7,1.4,1.2,0.6,0.1,0.375,0.441,0.277,0.806,0.2,6,1
59,2009,NBA,2,59,LAL,Chinemelu Elonu\elonuch01,22.112,C-F,ng,Texas A&M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
60,2009,NBA,2,60,MIA,Robert Dozier,0,NA,NA,Memphis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
